Epoch,Data
16,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.0555128505219342, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 16, '_last_lr': [0.0001]}}"
17,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.0281062934700984, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 17, '_last_lr': [0.0001]}}"
18,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.0164167738464704, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 18, '_last_lr': [0.0001]}}"
19,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.0003257042275653, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 19, '_last_lr': [0.0001]}}"
20,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9936575575154668, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 20, '_last_lr': [0.0001]}}"
21,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.976228995437219, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 21, '_last_lr': [0.0001]}}"
22,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9503217532451744, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 22, '_last_lr': [0.0001]}}"
23,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9467843546137396, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 23, '_last_lr': [0.0001]}}"
24,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9344321887471917, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 24, '_last_lr': [0.0001]}}"
25,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9213608803685436, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 25, '_last_lr': [0.0001]}}"
