Epoch,Time,Loss,Error,Background,Water,Building_No_Damage,Building_Minor_Damage,Building_Major_Damage,Building_Total_Destruction,Vehicle,Road-Clear,Road-Blocked,Tree,Pool
0,1327.3749833106995,1.8032117858611967,0.5968566536903381,0.2826080322265625,0.311149924993515,0.18341363966464996,0.04045698419213295,0.01657704822719097,0.024360308423638344,0.02757158689200878,0.18305346369743347,0.012126677669584751,0.2952684760093689,5.0694816309260204e-05
1,1325.8801727294922,1.6176061555991847,0.5358842611312866,0.3300802409648895,0.37084901332855225,0.2214680165052414,0.051799118518829346,0.02408684231340885,0.03687013313174248,0.06073908135294914,0.21256636083126068,0.007689661346375942,0.36673951148986816,9.856170072453097e-05
2,1329.9988605976105,1.514190819491534,0.49205076694488525,0.37275952100753784,0.39209622144699097,0.24435803294181824,0.07343129068613052,0.03170166537165642,0.04787371680140495,0.07621706277132034,0.23394529521465302,0.0059689003974199295,0.428109735250473,6.772132473997772e-05
3,1324.8713393211365,1.4383759076921507,0.45280417799949646,0.4201207458972931,0.4069836735725403,0.23967228829860687,0.08766311407089233,0.03557945042848587,0.05801400542259216,0.08972065150737762,0.24429792165756226,0.006727211643010378,0.4930194914340973,0.002632741816341877
4,1324.9138917922974,1.3702903822876589,0.42744866013526917,0.45227304100990295,0.42260077595710754,0.2563726603984833,0.1067429855465889,0.04339074343442917,0.06194796413183212,0.10210129618644714,0.26335176825523376,0.007287072483450174,0.5206930041313171,0.004844320472329855
5,1323.0192201137543,1.3288952109545833,0.41205713152885437,0.46919122338294983,0.4422343075275421,0.2642495632171631,0.11645766347646713,0.052555978298187256,0.07406114041805267,0.11156167089939117,0.277357280254364,0.005533923860639334,0.538151204586029,0.01377877313643694
6,1321.7602906227112,1.295758352595256,0.39722564816474915,0.4864344596862793,0.4501759111881256,0.2722419202327728,0.12462382018566132,0.06258421391248703,0.07785292714834213,0.11517681181430817,0.2893565893173218,0.010848372243344784,0.5622272491455078,0.004052493255585432
7,1322.2113943099976,1.2659711799976956,0.3841272294521332,0.5036203265190125,0.46036526560783386,0.28907451033592224,0.13385647535324097,0.06551133096218109,0.08316971361637115,0.12246376276016235,0.3143296539783478,0.00571089331060648,0.5661584734916687,0.01167884562164545
8,1325.920334815979,1.231445526619244,0.36723145842552185,0.5250613689422607,0.47569739818573,0.29201778769493103,0.14940597116947174,0.06815983355045319,0.09071891009807587,0.1350627839565277,0.32309484481811523,0.01023233775049448,0.5906644463539124,0.011002723127603531
9,1325.0676367282867,1.1931599303665628,0.35420799255371094,0.5413784980773926,0.4929211735725403,0.31064650416374207,0.15075020492076874,0.07377108186483383,0.10896874964237213,0.14311735332012177,0.3400057554244995,0.012929227203130722,0.6004814505577087,0.014303295873105526
10,1322.8832511901855,1.1736217353977803,0.35014498233795166,0.5458606481552124,0.49664172530174255,0.3231322169303894,0.14721612632274628,0.07722459733486176,0.10799918323755264,0.15430918335914612,0.35346657037734985,0.010264570824801922,0.6028760671615601,0.022602086886763573
